Pillar,Dataset,Content,Status,Note
EC3 — Invertebrate condition,Hierarchie_Zones_Ecologiques_Sites_Stations.xlsx,"Canonical zone→site→station table (33 rows, 7 zones incl. 1 unassigned)",Publishable,"Reference table for the whole condition pipeline. Does not include Ratafenjika, Nosy Satra, Befasy, Ankaramifioky."
EC3 — Invertebrate condition,Urchin sampling area,50 m²/transect retained; 250 m² stated by Laza,To be resolved,"Unresolved gap between Laza's written answer and the protocol documented in the extent reports. Current calculation retains 50 m² on biological plausibility grounds, not on Laza's confirmation."
EC3 — Invertebrate condition,"Unassigned zones (Nosy Satra, Befasy, Ambohibola, Tanilahy)",Rows with no confirmed ecological zone,Blocked (fieldwork closed),Documentary search unsuccessful. Fieldwork closed — not resolvable through new collection.
EC3 — Invertebrate condition,GPS coordinates (invertebrate layer),~85% of rows without coordinates; inconsistent correction factor,Blocked (partial),Fragile for the Eolomotsy/Fitsitika station; correction formula not generalised beyond qaqc_poissons().
EC3 — Benthic habitat condition,Coral/algae/rubble cover per site,Site x Year cover classes required for Pillar 3,Blocked (PENDING),"No Site x Year data available. The Sentinel-2 classification (Resultat.shp) feeds extent, not site-level condition, and carries the same area defect."
Pillar 2 — Households and fisheries,Household survey wave 1 (VF1),"377 households, Toliara II only, Nov 2025, single-trip recall",Blocked (limited use),"Instrument confound confirmed against VF2 (Mann-Whitney, p=1.7e-6 at Efoetse). Retained as descriptive only."
Pillar 2 — Households and fisheries,Household survey wave 2 (VF2),"525 households, 3 districts, Jan 2026, 7-day diary",Pilot,Instrument retained as the reference for informal CPUE/GVA. Commune→district crosswalk and gear-level effort still missing.
Pillar 2 — Households and fisheries,Fishers/canoes/gear census (Faustinato),"13,672 fishers, 8,508 canoes, 21 communes",Publishable,"Compiled data directly usable, not an estimate in progress."
Pillar 2 — Households and fisheries,BDD_Mada_Fishery_Catch_SW.csv,"Cleaned, reshaped catch data (long format, zero-catch, inconsistency log)",Pilot,"Rotating cross-sectional design (not a panel); each village observed 1–2 times, limiting CPUE trend analysis."
Pillar 2 — Households and fisheries,DRPEB Atsimo Andrefana,"Landings and marketing data, 2009–2024",Proxy — uncalibrated,Raw series not yet aggregated to a single reference year; overlap with customs data not verified.
Pillar 2 — Households and fisheries,Customs (import/export),"Fisheries, mining, agricultural, petroleum, equipment products, 2022–Oct 2025",Proxy — uncalibrated,Verify non-overlap with DRPEB before summing into formal fisheries GVA.
Pillar 2 — Households and fisheries,SW25 (Blue Ventures),"Landings, external cross-checking dataset",Blocked,"588 duplicated rows, outliers up to 43,500 kg/trip. Escalation required to Blue Ventures, no internal correction."
Pillar 2 — Tourism and dependent sectors,INSTAT Tourism Toliara,"Number of hotels, restaurants, employees",Proxy — uncalibrated,"Headcounts, no turnover figures; year not specified in the project files."
Pillar 2 — Tourism and dependent sectors,Tourism/transport δ coefficient,Ocean-attributable share of the tourism and transport sectors,Blocked,Phase 1 (spatial proxy) not launched; Phase 2 (primary survey) not budgeted.
Pillar 3 — Institutional and governance,MPA/LMMA table (Faustinato),"Area by MPA (Nosy Ve Androka, Ranobe Bay) and LMMA (Velondriake, Soariake)",Blocked (incomplete content),Referenced in the summary report but the value cells are not filled in in the documents available.
Pillar 3 — Institutional and governance,Effort/CPUE table by village (Faustinato),21 villages classified MPA/non-MPA,Blocked (empty),Effort and CPUE columns empty in the available file — to be obtained from Faustinato before any CPUE-by-governance-regime calculation.
Pillar 3 — Institutional and governance,Site–WDPA (extent-protected-area),Linking UVC sites to protected areas,Blocked,"Depends on the commune→district crosswalk (Level 3), not available at this stage."
Valuation reference set,Benefit-transfer unit values,"Coral/Algae 87,000; Seagrass 20,000; Sand 500; Rubble 2,000; Rock 1,500 (USD/ha/yr)",Publishable (external),Costanza et al. 2014; Brander et al. 2012; Nordlund et al. 2016; UNEP 2020. WIO context under-represented in the source literature — a ±50% sensitivity band is recommended.
Valuation reference set,MPEB statistical yearbook 2022,Share of the fisheries sector in national GDP: 3.20%,Publishable (external),Retained in preference to competing values (7% World Bank 2020; 5%; 4.8% FAO).
Valuation reference set,Barnes-Mauthe et al. (2013),"Post-landing cost structure, Vezo fishery",Publishable (external),Underpins the resource-rent valuation assumption (Case A) for services-provisionning and the MECA.
